dimension,group,loans,observed_72h_rate,predicted_72h_rate,calibration_gap,median_absolute_error_hours,use_boundary
gender,female,115334,0.5386442852931486,0.4854068948552527,-0.05323739043789588,42.79904799295127,diagnostic guardrail only; no protected-group targeting
gender,male,17664,0.36430027173913043,0.3013998332013183,-0.06290043853781213,106.41912970783198,diagnostic guardrail only; no protected-group targeting
sector,Agriculture,46312,0.5034116427707721,0.4443112480142593,-0.0591003947565128,54.28286654912204,diagnostic guardrail only; no protected-group targeting
sector,Arts,1111,0.5391539153915391,0.5686440618857023,0.02949014649416315,33.04834868232237,diagnostic guardrail only; no protected-group targeting
sector,Clean Energy,2116,0.7164461247637051,0.7403195124651022,0.02387338770139713,15.337666352537699,diagnostic guardrail only; no protected-group targeting
sector,Clothing,3862,0.3860693940963231,0.37398438062960054,-0.012085013466722583,75.0047272964819,diagnostic guardrail only; no protected-group targeting
sector,Education,1530,0.47516339869281043,0.48916663325568255,0.014003234562872113,79.36507720516798,diagnostic guardrail only; no protected-group targeting
sector,Food,28209,0.4842071679251303,0.4528061616851984,-0.03140100623993192,49.99824357812227,diagnostic guardrail only; no protected-group targeting
sector,Health,1419,0.3953488372093023,0.31120265323091706,-0.08414618397838525,102.82724368373796,diagnostic guardrail only; no protected-group targeting
sector,Housing,4202,0.6830080913850547,0.6974533126187805,0.014445221233725825,11.291476484724587,diagnostic guardrail only; no protected-group targeting
sector,Personal Use,1080,0.862037037037037,0.8346323859969057,-0.027404651040131345,7.92992230782234,diagnostic guardrail only; no protected-group targeting
sector,Retail,28475,0.47269534679543457,0.3717076348597602,-0.10098771193567435,57.51942800567758,diagnostic guardrail only; no protected-group targeting
sector,Reuse & Recycle,1114,0.6660682226211849,0.6346751518107664,-0.03139307081041853,20.050436333647717,diagnostic guardrail only; no protected-group targeting
sector,Sanitation & Hygiene,5123,0.9732578567245754,0.8001001706047867,-0.17315768611978877,16.896850807183043,diagnostic guardrail only; no protected-group targeting
sector,Services,5851,0.41155358058451547,0.4228697465877174,0.011316166003201955,63.96998366839429,diagnostic guardrail only; no protected-group targeting
sector,Transportation,1185,0.5215189873417722,0.6221426119375074,0.10062362459573526,42.554369460250896,diagnostic guardrail only; no protected-group targeting
country_name,Ghana,1185,0.4531645569620253,0.41963130623265316,-0.03353325072937213,44.34776585036815,diagnostic guardrail only; no protected-group targeting
country_name,Honduras,2621,0.22396032048836323,0.24027652982735107,0.016316209338987836,161.62805422905183,diagnostic guardrail only; no protected-group targeting
country_name,Kenya,26833,0.5173107740468825,0.4009471840570847,-0.11636358998979784,58.22258178584312,diagnostic guardrail only; no protected-group targeting
country_name,Liberia,4185,0.561768219832736,0.4739075868206247,-0.08786063301211122,35.3722055215238,diagnostic guardrail only; no protected-group targeting
country_name,Madagascar,8089,0.8322413153665471,0.8090513817383276,-0.023189933628219528,7.261683869522972,diagnostic guardrail only; no protected-group targeting
country_name,Nicaragua,2841,0.24252023935234074,0.24502478718744006,0.002504547835099319,120.35044626841756,diagnostic guardrail only; no protected-group targeting
country_name,Pakistan,4555,0.3216245883644347,0.2770281633660636,-0.044596424998371076,88.40742596040323,diagnostic guardrail only; no protected-group targeting
country_name,Philippines,52394,0.6421727678741841,0.5735280302094444,-0.06864473766473966,27.402717157247125,diagnostic guardrail only; no protected-group targeting
country_name,Rwanda,1571,0.3475493316359007,0.40317282375089125,0.05562349211499057,107.7413443264592,diagnostic guardrail only; no protected-group targeting
country_name,Senegal,3243,0.17329633055812518,0.23097296884944638,0.05767663829132119,154.27379410162908,diagnostic guardrail only; no protected-group targeting
country_name,Sierra Leone,2323,0.488592337494619,0.48851576444481415,-7.657304980485113e-05,43.05329058748404,diagnostic guardrail only; no protected-group targeting
country_name,Solomon Islands,1279,0.22752150117279124,0.19691955338240977,-0.030601947790381473,118.39843403800201,diagnostic guardrail only; no protected-group targeting
country_name,Tajikistan,4009,0.16462958343726616,0.16473791886972539,0.00010833543245922228,297.08897430309526,diagnostic guardrail only; no protected-group targeting
country_name,Togo,3038,0.2524687294272548,0.2416806912543069,-0.010788038172947878,112.84924783930427,diagnostic guardrail only; no protected-group targeting
country_name,Uganda,9537,0.3481178567683758,0.34961593593050083,0.0014980791621250211,130.16934213907976,diagnostic guardrail only; no protected-group targeting
