dimension,group,loans,observed_72h_rate,predicted_72h_rate,calibration_gap,median_absolute_error_hours,use_boundary
gender,female,115334,0.5386442852931486,0.48514445314111326,-0.0534998321520353,42.738550086505484,diagnostic guardrail only; no protected-group targeting
gender,male,17664,0.36430027173913043,0.30117415820170607,-0.06312611353742437,106.20677449149201,diagnostic guardrail only; no protected-group targeting
sector,Agriculture,46312,0.5034116427707721,0.44442142451481087,-0.058990218255961235,54.209451502799595,diagnostic guardrail only; no protected-group targeting
sector,Arts,1111,0.5391539153915391,0.5689179785247923,0.029764063133253194,32.89446201723264,diagnostic guardrail only; no protected-group targeting
sector,Clean Energy,2116,0.7164461247637051,0.7379091642856729,0.02146303952196782,15.406140079145786,diagnostic guardrail only; no protected-group targeting
sector,Clothing,3862,0.3860693940963231,0.37398476776744916,-0.01208462632887397,74.72742025150691,diagnostic guardrail only; no protected-group targeting
sector,Education,1530,0.47516339869281043,0.4877660334289447,0.012602634736134266,79.599675108667,diagnostic guardrail only; no protected-group targeting
sector,Food,28209,0.4842071679251303,0.4526604195942329,-0.03154674833089738,50.03993019960697,diagnostic guardrail only; no protected-group targeting
sector,Health,1419,0.3953488372093023,0.3086577220288461,-0.08669111518045619,102.38936275302763,diagnostic guardrail only; no protected-group targeting
sector,Housing,4202,0.6830080913850547,0.6964917310704174,0.013483639685362703,11.296724598036604,diagnostic guardrail only; no protected-group targeting
sector,Personal Use,1080,0.862037037037037,0.8340142026303232,-0.028022834406713826,7.933797773036879,diagnostic guardrail only; no protected-group targeting
sector,Retail,28475,0.47269534679543457,0.37184446780271563,-0.10085087899271894,57.489537277971024,diagnostic guardrail only; no protected-group targeting
sector,Reuse & Recycle,1114,0.6660682226211849,0.6360800438392191,-0.029988178781965802,19.831530940803297,diagnostic guardrail only; no protected-group targeting
sector,Sanitation & Hygiene,5123,0.9732578567245754,0.7956581277224458,-0.1775997290021296,16.866983061357217,diagnostic guardrail only; no protected-group targeting
sector,Services,5851,0.41155358058451547,0.42298704717480895,0.011433466590293484,63.70614256065048,diagnostic guardrail only; no protected-group targeting
sector,Transportation,1185,0.5215189873417722,0.6204921902095137,0.09897320286774158,42.31414809416026,diagnostic guardrail only; no protected-group targeting
country_name,Ghana,1185,0.4531645569620253,0.41992520868223115,-0.033239348279794134,43.752248940216354,diagnostic guardrail only; no protected-group targeting
country_name,Honduras,2621,0.22396032048836323,0.24037492021641557,0.016414599728052343,161.72515856728904,diagnostic guardrail only; no protected-group targeting
country_name,Kenya,26833,0.5173107740468825,0.40113645936146197,-0.11617431468542055,58.210267252273,diagnostic guardrail only; no protected-group targeting
country_name,Liberia,4185,0.561768219832736,0.47297473618836583,-0.08879348364437012,35.32720684242693,diagnostic guardrail only; no protected-group targeting
country_name,Madagascar,8089,0.8322413153665471,0.8079294075197434,-0.024311907846803704,7.2789034034196405,diagnostic guardrail only; no protected-group targeting
country_name,Nicaragua,2841,0.24252023935234074,0.24512185726987723,0.0026016179175364917,120.80012311693372,diagnostic guardrail only; no protected-group targeting
country_name,Pakistan,4555,0.3216245883644347,0.27796038614595153,-0.04366420221848316,88.29949540844568,diagnostic guardrail only; no protected-group targeting
country_name,Philippines,52394,0.6421727678741841,0.5729359770645267,-0.06923679080965739,27.38691192754935,diagnostic guardrail only; no protected-group targeting
country_name,Rwanda,1571,0.3475493316359007,0.40136899221186056,0.05381966057595988,107.55159056561297,diagnostic guardrail only; no protected-group targeting
country_name,Senegal,3243,0.17329633055812518,0.23239685196349727,0.059100521405372086,154.3619251767235,diagnostic guardrail only; no protected-group targeting
country_name,Sierra Leone,2323,0.488592337494619,0.48766760963945527,-0.0009247278551637317,43.038847555770076,diagnostic guardrail only; no protected-group targeting
country_name,Solomon Islands,1279,0.22752150117279124,0.19804468093606045,-0.02947682023673079,118.2178236734071,diagnostic guardrail only; no protected-group targeting
country_name,Tajikistan,4009,0.16462958343726616,0.16369149879687278,-0.0009380846403933829,295.25193585898785,diagnostic guardrail only; no protected-group targeting
country_name,Togo,3038,0.2524687294272548,0.24118076989926746,-0.011287959527987335,112.98920953344303,diagnostic guardrail only; no protected-group targeting
country_name,Uganda,9537,0.3481178567683758,0.34985360753523687,0.001735750766861055,130.31629366264124,diagnostic guardrail only; no protected-group targeting
